,event_date,year,month,day,country_code,latitude,longitude,witness,issue
16,2022-07-12,2022,7,12,ME,42.13402,19.06556,Eleonora Longo;Marco Neira;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18,2020-08-21,2020,8,21,ES,41.34109,2.04247,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Sergio Magallanes;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
20,2022-06-23,2022,6,23,IT,44.83439,11.13635,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
21,2020-07-30,2020,7,30,HR,45.22533,13.6126,Elton Rogozi;Isra Deblauwe;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
23,2022-08-11,2022,8,11,IT,45.57198,12.10035,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
24,2021-08-05,2021,8,5,IT,44.3832,7.53769,Ana Klobucar;UNIROMA1;Hugo Costa Osório;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
26,2022-06-24,2022,6,24,IT,45.57205,12.10045,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
28,2022-06-29,2022,6,29,HU,47.45935,18.95311,Anonymous expert;Kornélia Kurucz;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
29,2022-09-19,2022,9,19,IT,42.29041,14.45496,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
30,2021-10-21,2021,10,21,IT,44.05082,12.57348,UNIROMA1;Hans-Peter Fuehrer;Ognyan Mikov;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
